Ocorrência;Categoria;Classificação;Ponto_focal;Comentário
1;Entrega;Positivo;Prazo estipulado;Recebi bem antes do prazo estipulado. Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa
2;Produto;Negativo;Marca do aparelho;Aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho
3;Produto;Negativo;Desempenho;Mas um pouco ,travando...pelo valor ta Boa.
4;Vendedor;Positivo;;Vendedor confiável, produto ok e entrega antes do prazo.
5;Compra;Negativo;;GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU
6;Loja;Positivo;;Loja nota 10 obrigado pela atençao amim dispensada
7;Compra;Positivo;;A compra foi realizada facilmente. A entrega foi efetuada muito antes do prazo dado. O produto já começou a ser usado e até o presente, sem problemas.
8;Produto;Positivo;;Relógio muito bonito e barato.
9;Compra;Negativo;Qualidade do produto;Não gostei ! Comprei gato por lebre
10;Compra;Negativo;Atraso na entrega;Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.
11;Compra;Positivo;Entrega no prazo;Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.
12;Loja;Positivo;;Recomendo ,muito boa Tô completamente apaixonada, loja super responsável e confiável!
13;Compra;Negativo;Não recebimento do pedido;Nada de chegar o meu pedido.
14;Produto;Positivo;;Muito bom. muito cheiroso.
15;Vendedor;Positivo;Entrega antes do prazo;Ótimo vendedor chegou até antes do prazo , adorei o produto
16;Compra;Positivo;Processo de compra;Processo de compra tranquilo e eficiente.
17;Produto;Positivo;Durabilidade;Tomara q dure pois é de pelinho.
18;Produto;Negativo;Controle remoto;Recebi somente 1 controle Midea Split ESTILO. Faltou Controle Remoto para Ar Condicionado Consul
19;Produto;Positivo;;MT lindo
20;Compra;Positivo;Entrega antes do prazo;Ocorreu tudo como contratado sendo a entrega realizada antes do prazo. Estou satisfeita.
